description,food_category_description,Protein (G),Total lipid (fat) (G),"Carbohydrate, by difference (G)","Sodium, Na (MG)","Fiber, total dietary (G)"
"Plantains, ripe, raw",Fruits and Fruit Juices,1.15625,0.8933,30.95215,0.0,2.125
"Sorghum grain, white, pearled, unenriched, dry, raw",Cereal Grains and Pasta,10.25,3.265,74.872,0.0,3.916
"Nuts, walnuts, English, halves, raw",Nut and Seed Products,14.5644,69.74,10.9096,0.0,5.21
"Mushroom, beech",Vegetables and Vegetable Products,2.18,0.4494,6.7593,0.8913,3.139
"Rice, brown, long grain, unenriched, raw",Cereal Grains and Pasta,7.25305,3.306,76.68795,0.0,3.021
"Mushroom, pioppini",Vegetables and Vegetable Products,3.5,0.24,5.7637,0.0,2.753
"Turnips, raw",Vegetables and Vegetable Products,0.953125,0.1188,7.274975,12.8,1.915
"Nuts, pecans, halves, raw",Nut and Seed Products,9.9587,73.28,12.6993,0.0,5.793
"Peaches, yellow, raw",Fruits and Fruit Juices,0.91,0.27,10.1,13.0,1.5
"Tomatoes, whole, canned, solids and liquids, with salt added",Vegetables and Vegetable Products,0.8675,0.2063,4.2874,111.5,0.8725
"Peanut butter, creamy",Legumes and Legume Products,23.99124,49.43,22.70376,220.7,6.323
"Almond milk, unsweetened, plain, refrigerated",Beverages,0.65625,1.558,0.67075,59.22,0.0
"Flour, oat, whole grain",Cereal Grains and Pasta,13.16875,6.309,69.91725,3.619,10.5
"Nuts, macadamia nuts, raw",Nut and Seed Products,7.7857,64.93,24.0943,0.0,7.563
"Carrots, baby, raw",Vegetables and Vegetable Products,0.805,0.1375,9.0787,62.66,2.694
"Nuts, almonds, whole, raw",Nut and Seed Products,21.45038,51.09,20.03462,0.0,10.78
"Sesame butter, creamy",Nut and Seed Products,19.7054,62.4,14.179,63.63,8.372
"Flaxseed, ground",Nut and Seed Products,18.0359,37.28,34.3551,36.74,23.13
"Buckwheat, whole grain",Cereal Grains and Pasta,11.06534,3.039,71.13066,0.0,4.046
"Tomato, roma",Vegetables and Vegetable Products,0.695625,0.425,3.837475,0.0,0.9706
"Farro, pearled, dry, raw",Cereal Grains and Pasta,12.63944,3.103,72.13156,0.845,7.31
"Flour, semolina, coarse and semi-coarse",Cereal Grains and Pasta,11.73125,1.597,73.82345,0.0,3.216
"Bread, whole-wheat, commercially prepared",Baked Products,12.3,3.55,43.1,450.0,6.0
"Beet greens, raw",Vegetables and Vegetable Products,1.609375,0.1438,4.658825,280.5,2.578
"Eggplant, raw",Vegetables and Vegetable Products,0.851875,0.12,5.399325,0.4425,2.448
"Tomato, sauce, canned, with salt added",Vegetables and Vegetable Products,1.351875,0.3825,6.331625,416.9,1.636
"Mushrooms, shiitake",Vegetables and Vegetable Products,2.414375,0.195,8.170625,0.9363,4.166
"Pears, raw, bartlett",Fruits and Fruit Juices,0.38,0.16,15.1,7.0,3.1
"Rice, white, long grain, unenriched, raw",Cereal Grains and Pasta,7.03885,1.033,80.31315,0.4625,0.1488
"Sorghum, whole grain, white, dry, raw",Cereal Grains and Pasta,10.08125,4.219,73.57375,0.3288,8.274
"Apples, honeycrisp, with skin, raw",Fruits and Fruit Juices,0.1015625,0.1,14.6819375,0.1375,1.721
"Peppers, poblano, seeded, raw",Vegetables and Vegetable Products,1.425625,0.1906,5.143175,0.0,2.07
"Bananas, ripe and slightly ripe, raw",Fruits and Fruit Juices,0.74,0.29,23.0,0.0,1.7
"Arugula, baby, raw",Vegetables and Vegetable Products,1.64875,0.325,5.36825,86.93,2.28
"Brussels sprouts, raw",Vegetables and Vegetable Products,3.984375,0.565,9.615625,25.74,4.785
"Mushroom, maitake",Vegetables and Vegetable Products,2.203125,0.265,6.604375,0.345,3.071
"Hummus, commercial",Legumes and Legume Products,7.35,17.1,14.9,438.0,5.4
"Radicchio, raw",Vegetables and Vegetable Products,1.30875,0.1431,4.96125,8.076,2.114
"Yogurt, Greek, strawberry, nonfat",Dairy and Egg Products,8.06,0.15,12.2,32.0,0.6
"Flour, coconut",Nut and Seed Products,16.1385,15.28,58.9025,46.94,34.24
"Beans, snap, green, raw",Vegetables and Vegetable Products,1.96875,0.275,7.41245,0.0,3.011
"Kale, raw",Vegetables and Vegetable Products,2.92,1.49,4.42,53.0,4.1
"Rice, red, unenriched, dry, raw",Cereal Grains and Pasta,8.5625,3.44,76.1545,0.4375,4.198
"Cabbage, bok choy, raw",Vegetables and Vegetable Products,1.02375,0.2338,3.51495,14.27,1.259
"Sorghum flour, white, pearled, unenriched, dry, raw",Cereal Grains and Pasta,10.2125,3.238,73.5065,0.0,3.299
"Flour, amaranth",Cereal Grains and Pasta,13.2093,6.236,68.7787,0.0,7.209
"Eggs, Grade A, Large, egg whole",Dairy and Egg Products,12.4,9.96,0.96,129.0,0.0
"Beets, raw",Vegetables and Vegetable Products,1.6875,0.3025,8.787,111.6,3.119
"Sorghum bran, white, unenriched, dry, raw",Cereal Grains and Pasta,11.16875,9.259,68.69525,2.915,34.95
"Nuts, cashew nuts, raw",Nut and Seed Products,17.4423,38.86,36.2887,4.759,4.104
"Tomatoes, grape, raw",Vegetables and Vegetable Products,0.83,0.63,5.51,6.0,2.1
"Squash, summer, yellow, includes skin, raw",Vegetables and Vegetable Products,0.890625,0.135,4.39,0.0,0.9563
"Sauce, pasta, spaghetti/marinara, ready-to-serve","Soups, Sauces, and Gravies",1.41,1.48,8.05,419.0,1.8
"Oranges, raw, navels",Fruits and Fruit Juices,0.91,0.15,11.8,9.0,2.0
"Melons, cantaloupe, raw",Fruits and Fruit Juices,0.82,0.18,8.16,30.0,0.8
"Nuts, almonds, dry roasted, with salt added",Nut and Seed Products,20.4,57.8,16.2,256.0,11.0
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",Vegetables and Vegetable Products,4.52,14.4,36.3,374.0,2.4
"Mushroom, lion's mane",Vegetables and Vegetable Products,2.5,0.2563,7.5897,0.3363,4.376
"Flour, whole wheat, unenriched",Cereal Grains and Pasta,15.1,2.73,71.2,3.0,10.6
"Flour, spelt, whole grain",Cereal Grains and Pasta,14.475,2.543,70.723,0.0,9.339
